CA1_DG,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[I_II-III-IV]up--(App_Tspan15.csv),0.780491,0.836878639,0.781179283,0.804764078,0.798810164,0.800424633, '+'
IVH_3d-[I_II-III-IV]up--(App_Vldlr.csv),0.818598559,0.787960035,0.869053627,0.850904329,0.78109873,0.821523056, '+'
IVH_3d-[I_II-III-IV]up--(Calm2_Adcy8.csv),0.946152927,0.855575368,1.060615729,0.86917714,0.769432925,0.900190818, '+'
IVH_3d-[I_II-III-IV]up--(Calm2_Cacna1c.csv),0.982291187,0.899990085,1.017292264,0.849445954,0.777988071,0.905401512, '+'
IVH_3d-[I_II-III-IV]up--(Calm2_Grm7.csv),0.942128893,0.83584168,0.907081977,0.865630968,0.80820525,0.871777754, '+'
IVH_3d-[I_II-III-IV]up--(Calm2_Kcnq3.csv),1.080681153,0.869777602,0.984657458,0.827333298,0.729655121,0.898420926, '+'
IVH_3d-[I_II-III-IV]up--(Calm2_Mylk.csv),1.039028546,0.974366357,1.039486515,0.977588795,0.87242205,0.980578453, '+'
IVH_3d-[I_II-III-IV]up--(Calm2_Scn10a.csv),0.940525775,1.015861847,0.982619956,1.058043357,0.989891915,0.99738857, '+'
IVH_3d-[I_II-III-IV]up--(Calm2_Scn4a.csv),1,1,1,1,1,1, '++'
IVH_3d-[I_II-III-IV]up--(Calm2_Trpc5.csv),0.939458612,1.000680018,0.970695002,1.006300194,1.021863272,0.98779942, '+'
I_RSP,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[I_RSP]up--(Calm2_Adcy8.csv),1.150459496,1.038825182,1.060615729,0.996742905,1.006836445,1.050695951, '++'
IVH_3d-[I_RSP]up--(Calm2_Cacna1c.csv),0.997513065,0.972700681,1.017292264,0.879783936,0.838335854,0.94112516, '+'
IVH_3d-[I_RSP]up--(Calm2_Grm7.csv),1.068864953,0.991706588,0.907081977,0.945397768,0.96673396,0.975957049, '+'
IVH_3d-[I_RSP]up--(Calm2_Kcnq3.csv),1.142894517,0.998885215,0.984657458,0.944635666,0.934243486,1.001063269, '++'
IVH_3d-[I_RSP]up--(Calm2_Mylk.csv),0.9841279,0.988613233,1.039486515,0.94953463,0.883526039,0.969057663, '+'
IVH_3d-[I_RSP]up--(Calm2_Scn10a.csv),0.931345816,0.981141963,0.982619956,1.019760961,0.957721122,0.974517964, '+'
